"run","SampleID","Input","No Dimers","Amplicons","OutputDada2","OutputPostprocessing","perc_amplicons","group"
"M14","M14_HAM14-066-D0",2,2,2,2,2,1,"Sample"
"M14","M14_HT29012013-05",1,1,1,NA,NA,1,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000669",3,3,3,3,3,1,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000700",1,1,1,NA,NA,1,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000734",4,4,4,3,3,1,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000780",2,2,2,2,2,1,"Sample"
"NS2","NS2_MH-02-AC_HAM15-000712",1,1,1,1,1,1,"Sample"
"NS2","NS2_MH-13-AC_HT29052011-3",1,1,1,1,1,1,"Sample"
"NS2","NS2_MH-12-AC_HT19112010-1",86007,85912,85897,75166,75166,0.998721034334415,"Sample"
"NS2","NS2_MH-12-AC_HT20102010-3",48500,48380,48343,42078,42078,0.996762886597938,"Sample"
"NS2","NS2_MH-12-AC_HT15122010-1",34484,34373,34361,30057,30057,0.996433128407377,"Sample"
"NS2","NS2_MH-12-AC_HT14102010-1",72409,72147,72131,63539,63539,0.996160698255742,"Sample"
"NS2","NS2_MH-12-AC_HT15112010-1",25145,25023,25017,21956,21956,0.994909524756413,"Sample"
"NS2","NS2_MH-12-AC_HT18012011-2",15767,15728,15682,13680,13680,0.994608993467369,"Sample"
"NS2","NS2_MH-12-AC_HT16022011-3",39551,39345,39335,33659,33659,0.994538696872393,"Sample"
"NS2","NS2_MH-12-AC_HT20092010-2",57922,57879,57602,50351,50351,0.994475328890577,"Sample"
"NS2","NS2_MH-12-AC_HT27122010-3",19466,19354,19348,16926,16926,0.993938148566732,"Sample"
"NS2","NS2_MH-12-AC_HT13052011-5",66065,65676,65650,57243,57243,0.993718307727238,"Sample"
"NS2","NS2_MH-12-AC_HT10072010-1",2425,2410,2407,2149,2149,0.992577319587629,"Sample"
"NS2","NS2_MH-12-AC_HT27042011-3",58090,57641,57624,50447,50447,0.991977965226373,"Sample"
"NS2","NS2_MH-12-AC_HT24112010-1",73546,73301,72909,62973,62973,0.991338753977103,"Sample"
"NS2","NS2_MH-12-AC_HT11112010-2",45925,45544,45523,39735,39735,0.991246597713664,"Sample"
"NS2","NS2_MH-12-AC_HT06112010-1",81466,80763,80739,68711,68711,0.991076031718754,"Sample"
"NS2","NS2_MH-12-AC_HT13072010-1",71761,71115,71085,62000,62000,0.99057984141804,"Sample"
"NS2","NS2_MH-09-AC_HT07122011-2",234649,232489,232356,203793,203793,0.990227957502482,"Sample"
"NS2","NS2_MH-13-AC_HT15122011-11",338949,335433,335137,283620,283620,0.98875347028609,"Sample"
"NS2","NS2_MH-09-AC_HT07122011-12",200115,197867,197785,174176,174176,0.988356694900432,"Sample"
"NS2","NS2_MH-12-AC_HT08052011-2",36073,36006,35652,31282,31282,0.98832922130125,"Sample"
"NS2","NS2_MH-12-AC_HT24052011-5",125915,124519,124383,109388,109388,0.987833061986261,"Sample"
"NS2","NS2_MH-12-AC_HT09032011-6",33454,33067,33030,29266,29266,0.987325880313266,"Sample"
"NS2","NS2_MH-09-AC_HT07122011-7",194053,191692,191593,167511,167511,0.987323050919079,"Sample"
"NS2","NS2_MH-09-AC_HT12052012-11",239530,236596,236410,206603,206603,0.986974491712938,"Sample"
"NS2","NS2_MH-12-AC_HT25052011-6",105587,104416,104200,91399,91399,0.986863913171129,"Sample"
"NS2","NS2_MH-09-AC_HT15062011-12",205804,203118,203029,178493,178493,0.986516297059338,"Sample"
"NS2","NS2_MH-12-AC_HT26032011-5",63139,62304,62280,54141,54141,0.986395096533046,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000651",354534,350663,349249,300148,300148,0.985093108136314,"Sample"
