sampleID,Run,Lib_plate,Lib_plate_pos,Lib_condition,qPCR_Ct,qPCR_Quantity,Type,DNA_Plate_No,Micronix,RackID,Index_plate,Lib_pool
M13_HAM14-001-D0,M13,P07,C02,"1A5 & 2, 20 cycles",29.15,52.9036,DNA,NA,NA,NA,NA,NA
M08_HAM14-004-D0,M08,P02,G07,"1A5 & 2, 15 cycles",22.58,3328.6,DBS,NA,NA,NA,NA,NA
M08_HAM14-006-D0,M08,P02,E07,"1A5 & 2, 15 cycles",23.06,2442.6,DBS,NA,NA,NA,NA,NA
M08_HAM14-007-D0,M08,P02,F09,"1A5 & 2, 15 cycles",21.11,7921.5383,DNA,NA,NA,NA,NA,NA
M08_HAM14-009-D0,M08,P02,C07,"1A5 & 2, 15 cycles",23.18,2260.7,DBS,NA,NA,NA,NA,NA
M05_HAM14-013-D0,M05,NA,NA,"1AB & 2, 11 cycles",21.29,7647.3,DBS,NA,NA,NA,NA,NA
M05_HAM14-014-D0,M05,NA,NA,"1AB & 2, 11 cycles",20.27,14761.8,DBS,NA,NA,NA,NA,NA
M13_HAM14-016-D0,M13,P07,G08,"1A5 & 2, 20 cycles",30.26,23.5,DBS,NA,NA,NA,NA,NA
M15_HAM14-016-D0,M15,P11,D02,"1A5 & 2, 20 cycles",30.26,23.5,DBS,NA,NA,NA,NA,NA
M08_HAM14-019-D0,M08,P02,B08,"1A5 & 2, 15 cycles",22.22,4198.3,DBS,NA,NA,NA,NA,NA
M08_HAM14-021-D0,M08,P02,D12,"1A5 & 2, 15 cycles",17.12,112524.3,DBS,NA,NA,NA,NA,NA
M08_HAM14-024-D0,M08,P02,H12,"1A5 & 2, 15 cycles",15.84,421968.0887,DBS,NA,NA,NA,NA,NA
M08_HAM14-025-D0,M08,P02,E11,"1A5 & 2, 15 cycles",18.91,36976.7654,DBS,NA,NA,NA,NA,NA
M09_HAM14-028-D0,M09,P03,C03,"1A5 & 2, 15 cycles",21.93,5061.6,DBS,NA,NA,NA,NA,NA
M12_HAM14-031-D0,M12,P06,E06,"1A5 & 2, 20 cycles",24.57,922.6,DBS,NA,NA,NA,NA,NA
M13_HAM14-033-D0,M13,P07,G02,"1A5 & 2, 20 cycles",28.71,69.5877,DNA,NA,NA,NA,NA,NA
