Year,Month,District,Season,Total,Density,freq,Lower,Upper,temp,rain,area,EIR,case1,IR
2010,1,AG,1,61087,2.6,0,NA,NA,28,300.1,2,1.3,186,0.003044838
2010,1,CT,1,15817,5.9,0,NA,NA,28,300.1,2,2.95,15,0.000948347
2010,1,CU,1,6762,0,NA,NA,NA,28,300.1,1,0,2,0.00029577
2010,1,LE,1,12686,1.8,0.4472,NA,NA,28,300.1,1,0.9,3,0.000236481
2010,1,LO,1,18492,1.11,0,NA,NA,28,300.1,2,0.555,49,0.002649795
2010,1,MZ,1,41710,0.925,NA,NA,NA,28,300.1,2,0.4625,15,0.000359626
2010,1,PR,1,7230,1.25,NA,NA,NA,28,300.1,0,0.625,1,0.000138313
2010,10,AG,3,61087,2.51,NA,NA,NA,28,116.8,2,1.255,80,0.001309608
2010,10,CT,3,15817,4.2,NA,NA,NA,28,116.8,2,2.1,32,0.00202314
2010,10,CU,3,6762,1.36,NA,NA,NA,28,116.8,1,0.68,25,0.003697131
2010,10,LE,3,12686,1.975,NA,NA,NA,28,116.8,1,0.9875,1,7.88E-05
2010,10,LO,3,18492,4.35,NA,NA,NA,28,116.8,2,2.175,19,0.001027471
2010,10,MZ,3,41710,0.32,NA,NA,NA,28,116.8,2,0.16,68,0.001630304
2010,10,PR,3,7230,2.1,NA,NA,NA,28,116.8,0,1.05,0,0
2010,11,AG,3,61087,8.15,NA,NA,NA,28,333.6,2,4.075,90,0.001473309
2010,11,CT,3,15817,3.85,NA,NA,NA,28,333.6,2,1.925,46,0.002908263
2010,11,CU,3,6762,0.3,NA,NA,NA,28,333.6,1,0.15,40,0.00591541
2010,11,LE,3,12686,3.82,NA,NA,NA,28,333.6,1,1.91,4,0.000315308
2010,11,LO,3,18492,7.9,NA,NA,NA,28,333.6,2,3.95,16,0.000865239
2010,11,MZ,3,41710,0.96,NA,NA,NA,28,333.6,2,0.48,72,0.001726205
2010,11,PR,3,7230,3.12,NA,NA,NA,28,333.6,0,1.56,0,0
2010,12,AG,3,61087,21.83,NA,NA,NA,29,281.3,2,10.915,176,0.002881137
2010,12,CT,3,15817,4.11,NA,NA,NA,29,281.3,2,2.055,69,0.004362395
2010,12,CU,3,6762,0.48,NA,NA,NA,29,281.3,1,0.24,47,0.006950606
2010,12,LE,3,12686,2.53,NA,NA,NA,29,281.3,1,1.265,2,0.000157654
2010,12,LO,3,18492,9.8,NA,NA,NA,29,281.3,2,4.9,47,0.00254164
2010,12,MZ,3,41710,1.1,NA,NA,NA,29,281.3,2,0.55,105,0.002517382
2010,12,PR,3,7230,2.68,NA,NA,NA,29,281.3,0,1.34,4,0.00055325
2010,2,AG,1,61087,5.28,0,NA,NA,30,201.9,2,2.64,195,0.003192169
2010,2,CT,1,15817,3.2,0,NA,NA,30,201.9,2,1.6,11,0.000695454
2010,2,CU,1,6762,0.05,NA,NA,NA,30,201.9,1,0.025,0,0
2010,2,LE,1,12686,3.625,0.4472,NA,NA,30,201.9,1,1.8125,6,0.000472962
2010,2,LO,1,18492,0.23,0,NA,NA,30,201.9,2,0.115,14,0.000757084
2010,2,MZ,1,41710,0.5,NA,NA,NA,30,201.9,2,0.25,13,0.000311676
2010,2,PR,1,7230,2.25,NA,NA,NA,30,201.9,0,1.125,3,0.000414938
2010,3,AG,1,61087,3.16,0,NA,NA,31,140.8,2,1.58,159,0.002602845
2010,3,CT,1,15817,2.96,0,NA,NA,31,140.8,2,1.48,13,0.0008219
2010,3,CU,1,6762,0.18,NA,NA,NA,31,140.8,1,0.09,1,0.000147885
2010,3,LE,1,12686,1.76,0.4472,NA,NA,31,140.8,1,0.88,7,0.000551789
2010,3,LO,1,18492,0.82,0,NA,NA,31,140.8,2,0.41,26,0.001406013
2010,3,MZ,1,41710,0.58,NA,NA,NA,31,140.8,2,0.29,23,0.000551427
2010,3,PR,1,7230,1.92,NA,NA,NA,31,140.8,0,0.96,6,0.000829876
2010,4,AG,1,61087,13.84,0,NA,NA,31,46,2,6.92,206,0.00337224
2010,4,CT,1,15817,5.4,0,NA,NA,31,46,2,2.7,29,0.00183347
2010,4,CU,1,6762,0.56,NA,NA,NA,31,46,1,0.28,3,0.000443656
2010,4,LE,1,12686,1.08,0.4472,NA,NA,31,46,1,0.54,7,0.000551789
2010,4,LO,1,18492,7.82,0,NA,NA,31,46,2,3.91,22,0.001189704
2010,4,MZ,1,41710,0.38,NA,NA,NA,31,46,2,0.19,35,0.000839127
2010,4,PR,1,7230,0.8,NA,NA,NA,31,46,0,0.4,1,0.000138313
2010,5,AG,1,61087,4.11,0,NA,NA,29,49.7,2,2.055,350,0.005729533
2010,5,CT,1,15817,6.2,0,NA,NA,29,49.7,2,3.1,36,0.002276032
2010,5,CU,1,6762,2.36,NA,NA,NA,29,49.7,1,1.18,10,0.001478852
2010,5,LE,1,12686,4.16,0.4472,NA,NA,29,49.7,1,2.08,5,0.000394135
2010,5,LO,1,18492,8.18,0,NA,NA,29,49.7,2,4.09,41,0.002217175
2010,5,MZ,1,41710,0.33,NA,NA,NA,29,49.7,2,0.165,46,0.001102853
2010,5,PR,1,7230,1.28,NA,NA,NA,29,49.7,0,0.64,17,0.002351314
2010,6,AG,2,61087,0.67,NA,NA,NA,27,20.2,2,0.335,176,0.002881137
2010,6,CT,2,15817,5.35,NA,NA,NA,27,20.2,2,2.675,52,0.003287602
2010,6,CU,2,6762,3.7,NA,NA,NA,27,20.2,1,1.85,12,0.001774623
2010,6,LE,2,12686,1.65,NA,NA,NA,27,20.2,1,0.825,14,0.001103579
2010,6,LO,2,18492,6.31,NA,NA,NA,27,20.2,2,3.155,32,0.001730478
2010,6,MZ,2,41710,0.45,NA,NA,NA,27,20.2,2,0.225,58,0.001390554
2010,6,PR,2,7230,1,NA,NA,NA,27,20.2,0,0.5,0,0
2010,7,AG,2,61087,0.02,NA,NA,NA,26,7.7,2,0.01,81,0.001325978
2010,7,CT,2,15817,7.42,NA,NA,NA,26,7.7,2,3.71,45,0.00284504
2010,7,CU,2,6762,0.91,NA,NA,NA,26,7.7,1,0.455,14,0.002070393
2010,7,LE,2,12686,4.22,NA,NA,NA,26,7.7,1,2.11,9,0.000709443
2010,7,LO,2,18492,7.33,NA,NA,NA,26,7.7,2,3.665,18,0.000973394
2010,7,MZ,2,41710,0.58,NA,NA,NA,26,7.7,2,0.29,29,0.000695277
2010,7,PR,2,7230,0.25,NA,NA,NA,26,7.7,0,0.125,0,0
2010,8,AG,2,61087,0.43,NA,NA,NA,26,41.6,2,0.215,55,0.000900355
2010,8,CT,2,15817,8.73,NA,NA,NA,26,41.6,2,4.365,29,0.00183347
