sampleID,new_year,color
M03_HAM14-373-D0,2014,yellow
M03_HAM14-399-D0,2014,yellow
M03_HAM15-061-D0,2015,pink
M03_HAM15-075-D0,2015,pink
M03_HAM16-076-D0,2016,red
M03_HAM16-084-D0,2016,red
M03_HAM16-097-D0,2016,red
M03_HAM16-116-D0,2016,red
M03_HAM16-221-D0,2016,red
M03_HT25082010-02,2010,gray
M04_HAM14-407-D0,2014,yellow
M04_HAM16-058-D0,2016,red
M04_HAM16-077-D0,2016,red
M04_HAM16-126-D0,2016,red
M04_HAM16-128-D0,2016,red
M04_HAM16-134-D0,2016,red
M04_HAM16-137-D0,2016,red
M04_HAM16-286-D0,2016,red
M04_HAM16-381-D0,2016,red
M04_HAM16-383-D0,2016,red
M04_HAM16-444-D0,2016,red
M04_HT02032011-03,2011,purple
M04_HT06012013-07,2013,green
M04_HT15032011-09,2011,purple
M04_HT17032010-01,2010,gray
M04_HT18032010-05,2010,gray
M04_HT19032010-10,2010,gray
M04_HT21012013-05,2013,green
M04_HT22012013-12,2013,green
M04_HT25022011-03,2011,purple
M05_HAM14-013-D0,2014,yellow
M05_HAM14-014-D0,2014,yellow
M05_HAM15-019-D0,2015,pink
M05_HAM16-132-D0,2016,red
M05_HAM16-145-D0,2016,red
M05_HAM16-149-D0,2016,red
M05_HAM16-160-D0,2016,red
M05_HAM16-168-D0,2016,red
M05_HAM16-197-D0,2016,red
M05_HAM16-233-D0,2016,red
M05_HAM16-276-D0,2016,red
M05_HAM16-292-D0,2016,red
M05_HAM16-375-D0,2016,red
M05_HAM16-424-D0,2016,red
M05_HAM16-430-D0,2016,red
M05_HAM16-496-D0,2016,red
M06_HAM15-055-D0,2015,pink
M06_HAM15-106-D0,2015,pink
M06_HAM16-003-D0,2016,red
M06_HAM16-010-D0,2016,red
M06_HAM16-012-D0,2016,red
M06_HAM16-013-D0,2016,red
M06_HAM16-014-D0,2016,red
M06_HAM16-019-D0,2016,red
M06_HAM16-030-D0,2016,red
M06_HAM16-039-D0,2016,red
M06_HAM16-053-D0,2016,red
M06_HAM16-054-D0,2016,red
M06_HAM16-060-D0,2016,red
M06_HAM16-064-D0,2016,red
M06_HAM16-066-D0,2016,red
M06_HAM16-067-D0,2016,red
M06_HAM16-078-D0,2016,red
M06_HAM16-082-D0,2016,red
M06_HAM16-098-D0,2016,red
M06_HAM16-101-D0,2016,red
M06_HAM16-122-D0,2016,red
M06_HAM16-127-D0,2016,red
M06_HAM16-135-D0,2016,red
M06_HAM16-179-D0,2016,red
M06_HAM16-205-D0,2016,red
M06_HAM16-246-D0,2016,red
M06_HAM16-264-D0,2016,red
M06_HAM16-313-D0,2016,red
M06_HAM16-314-D0,2016,red
M06_HAM16-325-D0,2016,red
M06_HAM16-357-D0,2016,red
M06_HAM16-364-D0,2016,red
M06_HAM16-366-D0,2016,red
M06_HAM16-396-D0,2016,red
M06_HAM16-411-D0,2016,red
M06_HAM16-419-D0,2016,red
M06_HAM16-425-D0,2016,red
M06_HAM16-426-D0,2016,red
M06_HAM16-433-D0,2016,red
M06_HAM16-469-D0,2016,red
M06_HAM16-486-D0,2016,red
M06_HAM16-487-D0,2016,red
M06_HAM16-499-D0,2016,red
M06_HAM16-500-D0,2016,red
M06_HAM16-518-D0,2016,red
M08_HAM14-004-D0,2014,yellow
M08_HAM14-006-D0,2014,yellow
M08_HAM14-007-D0,2014,yellow
M08_HAM14-009-D0,2014,yellow
M08_HAM14-019-D0,2014,yellow
M08_HAM14-021-D0,2014,yellow
M08_HAM14-024-D0,2014,yellow
M08_HAM14-025-D0,2014,yellow
M08_HAM15-004-D0,2015,pink
M08_HAM15-008-D0,2015,pink
M08_HAM15-011-D0,2015,pink
M08_HAM15-016-D0,2015,pink
M08_HAM15-112-D0,2015,pink
M08_HAM15-114-D0,2015,pink
M08_HAM15-115-D0,2015,pink
M08_HAM15-117-D0,2015,pink
M08_HAM15-119-D0,2015,pink
M08_HAM15-123-D0,2015,pink
M08_HAM15-129-D0,2015,pink
M08_HAM15-132-D0,2015,pink
M08_HAM15-137-D0,2015,pink
M08_HAM15-147-D0,2015,pink
M08_HAM15-208-D0,2015,pink
M08_HAM15-224-D0,2015,pink
M08_HAM15-229-D0,2015,pink
M08_HAM15-245-D0,2015,pink
M08_HAM15-248-D0,2015,pink
M08_HAM15-260-D0,2015,pink
M08_HAM15-278-D0,2015,pink
M08_HAM15-286-D0,2015,pink
M08_HAM15-293-D0,2015,pink
M08_HAM15-298-D0,2015,pink
M08_HAM15-301-D0,2015,pink
M08_HAM15-320-D0,2015,pink
M08_HAM15-327-D0,2015,pink
M08_HAM15-359-D0,2015,pink
M08_HAM15-379-D0,2015,pink
M08_HAM15-409-D0,2015,pink
M08_HAM15-410-D0,2015,pink
M08_HAM15-440-D0,2015,pink
M08_HAM15-450-D0,2015,pink
M08_HAM15-452-D0,2015,pink
M08_HAM15-462-D0,2015,pink
M08_HAM15-488-D0,2015,pink
M08_HAM15-489-D0,2015,pink
M08_HAM15-498-D0,2015,pink
M08_HAM15-503-D0,2015,pink
M08_HAM15-514-D0,2015,pink
M08_HAM15-551-D0,2015,pink
M08_HAM15-555-D0,2015,pink
M08_HAM15-558-D0,2015,pink
M08_HAM15-606-D0,2015,pink
M08_HAM15-630-D0,2015,pink
M08_HAM15-641-D0,2015,pink
M08_HAM15-645-D0,2015,pink
M08_HAM15-666-D0,2015,pink
M08_HAM16-080-D0,2016,red
M08_HAM16-093-D0,2016,red
M08_HAM16-107-D0,2016,red
M08_HAM16-123-D0,2016,red
M08_HAM16-156-D0,2016,red
M08_HAM16-157-D0,2016,red
M08_HAM16-171-D0,2016,red
M08_HAM16-182-D0,2016,red
M08_HAM16-201-D0,2016,red
M08_HAM16-278-D0,2016,red
M08_HAM16-279-D0,2016,red
M08_HAM16-294-D0,2016,red
M08_HAM16-295-D0,2016,red
M08_HAM16-303-D0,2016,red
M08_HAM16-309-D0,2016,red
M08_HAM16-358-D0,2016,red
M08_HAM16-373-D0,2016,red
M08_HAM16-407-D0,2016,red
M11_HT01062010-02,2010,gray
M11_HT03062010-03,2010,gray
M11_HT04092010-01,2011,purple
M11_HT07042010-03,2010,gray
M11_HT07052010-01,2010,gray
M11_HT08102010-02,2011,purple
M11_HT09042010-01,2010,gray
M11_HT09052010-01,2010,gray
M11_HT09052010-02,2010,gray
M11_HT09052010-05,2010,gray
M11_HT10062010-03,2010,gray
M11_HT11052010-10,2010,gray
M11_HT13042010-04,2010,gray
M11_HT13042010-05,2010,gray
M11_HT13072010-03,2010,gray
M11_HT15052010-03,2010,gray
M11_HT15092010-01,2011,purple
M11_HT16032010-08,2010,gray
M11_HT16042010-02,2010,gray
M11_HT17042010-01,2010,gray
M11_HT19032010-01,2010,gray
M11_HT19032010-03,2010,gray
M11_HT19032010-04,2010,gray
M11_HT21042010-06,2010,gray
M11_HT23032010-01,2010,gray
M11_HT23092011-02,2012,blue
M11_HT24042010-02,2010,gray
M11_HT24042010-04,2010,gray
M11_HT24092011-02,2012,blue
M11_HT26042010-01,2010,gray
M11_HT26092011-02,2012,blue
M11_HT27042010-04,2010,gray
M11_HT27042010-06,2010,gray
M11_HT27092010-01,2011,purple
M11_HT28032010-03,2010,gray
M11_HT28042010-01,2010,gray
M11_HT28092011-03,2012,blue
M11_HT30032010-01,2010,gray
M11_HT30042010-03,2010,gray
M11_HT30042010-06,2010,gray
M11_HT30042010-10,2010,gray
