sample,country,snp_distance
MH-03-AC_HAM15-000265,Nigeria,0.005989142975140575
M03_HAM14-373-D0,Cameroon,0.006229742634907084
M03_HAM14-373-D0,Gabon,0.006163732100448495
M03_HAM14-373-D0,Ghana,0.006347461243228816
M03_HAM14-373-D0,Kenya,0.006670215106379537
M03_HAM14-373-D0,Nigeria,0.00596410585101752
M03_HAM14-373-D0,Sao_Tome,0.004623462470670139
M03_HAM14-373-D0,Tanzania,0.006730205218663604
M03_HAM14-399-D0,Cameroon,0.00611967632961061
M03_HAM14-399-D0,Gabon,0.006082329174297446
M03_HAM14-399-D0,Ghana,0.006164398008306813
M03_HAM14-399-D0,Kenya,0.006514307273879126
M03_HAM14-399-D0,Nigeria,0.005914405176368764
M03_HAM14-399-D0,Sao_Tome,0.0049073643750892956
M03_HAM14-399-D0,Tanzania,0.006525641495003568
M03_HAM15-061-D0,Gabon,0.0061821797566782135
M03_HAM15-061-D0,Ghana,0.006312897684625498
M03_HAM15-061-D0,Kenya,0.0066260316305614304
M03_HAM15-061-D0,Nigeria,0.005968105213077333
M03_HAM15-061-D0,Sao_Tome,0.004444208293010026
M03_HAM15-061-D0,Tanzania,0.00670462622072975
M03_HAM15-075-D0,Cameroon,0.005927972920911835
M03_HAM15-075-D0,Gabon,0.005773421428010663
M03_HAM15-075-D0,Ghana,0.005991148417630492
M03_HAM15-075-D0,Kenya,0.006281989600697953
M03_HAM15-075-D0,Nigeria,0.005694560416904979
M03_HAM15-075-D0,Sao_Tome,0.004601537612904652
M03_HAM15-075-D0,Tanzania,0.006333022732190402
M03_HAM16-076-D0,Cameroon,0.0063968275162607675
M03_HAM16-076-D0,Ghana,0.006440778018364865
M03_HAM16-076-D0,Kenya,0.006382963727165729
M03_HAM16-076-D0,Nigeria,0.006131275287339672
M03_HAM16-076-D0,Sao_Tome,0.005495407064346386
M03_HAM16-076-D0,Tanzania,0.006396777406234982
M03_HAM16-084-D0,Cameroon,0.006188739334023878
M03_HAM16-084-D0,Gabon,0.006184518870312651
M03_HAM16-084-D0,Ghana,0.00630026566026302
M03_HAM16-084-D0,Kenya,0.006539937290994919
M03_HAM16-084-D0,Nigeria,0.005975853754660409
M03_HAM16-084-D0,Sao_Tome,0.004158037058872117
M03_HAM16-084-D0,Tanzania,0.006565635979037369
M03_HAM16-097-D0,Cameroon,0.006188739334023878
M03_HAM16-097-D0,Gabon,0.006184518870312651
M03_HAM16-097-D0,Kenya,0.006539937290994919
M03_HAM16-097-D0,Nigeria,0.005975853754660409
M03_HAM16-097-D0,Sao_Tome,0.004158037058872117
M03_HAM16-097-D0,Tanzania,0.006565635979037369
M03_HAM16-116-D0,Cameroon,0.006188739334023878
M03_HAM16-116-D0,Gabon,0.006184518870312651
M03_HAM16-116-D0,Ghana,0.00630026566026302
M03_HAM16-116-D0,Kenya,0.006539937290994919
M03_HAM16-116-D0,Nigeria,0.005975853754660409
M03_HAM16-116-D0,Sao_Tome,0.004158037058872117
M03_HAM16-116-D0,Tanzania,0.006565635979037369
M03_HAM16-221-D0,Cameroon,0.006188739334023878
M03_HAM16-221-D0,Gabon,0.006184518870312651
M03_HAM16-221-D0,Ghana,0.00630026566026302
M03_HAM15-061-D0,Cameroon,0.006199840434097682
M03_HAM16-076-D0,Gabon,0.00634468057034093
M03_HAM16-097-D0,Ghana,0.00630026566026302
M03_HAM16-221-D0,Kenya,0.006539937290994919
M04_HAM14-407-D0,Nigeria,0.006302056350878357
M04_HAM16-077-D0,Sao_Tome,0.005033210258115858
M04_HAM16-128-D0,Tanzania,0.006565635979037369
M04_HAM16-286-D0,Cameroon,0.006188739334023878
M04_HAM16-383-D0,Gabon,0.006184518870312651
M04_HT02032011-03,Ghana,0.006062816994213394
M04_HT15032011-09,Kenya,0.006740524763769449
M04_HT18032010-05,Nigeria,0.006363210378728483
M04_HT21012013-05,Sao_Tome,0.004556456324096548
